Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C2, C3, C4",0402,4,10pF,
"C10, C11, C13, C15, C16, C20, C23, C24, C5, C6, C8",0402,11,100nF,
"C12, C25, C26, C7, C9",0603,5,4.7uF,
"C14, C17, C18",0402,3,1uF,
C19,0402,1,10nF,
C21,0603,1,22uF,C361061
C22,0805,1,47uF,C471380
C27,0402,1,2.2uF,
FL1,FILTER-SMD_6P-L1.6-W1.0-P0.50-BL,1,MLPF-WB55-01E3,C2651048
"J1, J2",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,C42431804
L1,0603,1,10uH,
L2,0603,1,10nH,
LED1,LED0402-RD_GREEN,1,XL-1005UGC,C965793
"R1, R13, R5, R6",0402,4,10K,
R10,0402,1,91K,
"R11, R12",0402,2,4.7K,
"R14, R15",0402,2,1.5K,
"R2, R3",0402,2,5.1K,
R4,0402,1,150,C25082
R7,0402,1,1.18K,
R8,0402,1,1.13K,
R9,0402,1,511K,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,SW_Push,C720477
U1,LED0402-FD_YELLOW,1,SZYY0402Y_C434450,C434450
U10,LED0402-RD,1,XL-1005UBC_C22355736,C22355736
U2,Texas_DRT-3,1,TPD2EUSB30,
U3,CRYSTAL-SMD_L2.0-W1.2,1,NX2012SA-32.768KHZ-STD-MUB-2,C891748
U4,QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm,1,STM32WB55RGVx,C401505
U5,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24072RGT,C140288
U6,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,1,TPS631000DRLR,C5219190
U7,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-42688-PC,C48586483
U8,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U9,L1008,1,DFE252012P-1R0M=P2,C882955
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,OSC-SMD_4P-L2.0-W1.6-BL,1,NX2016SA-32MHZ-STD-CZS-5,C843260
